Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Centro Leste,Seabra,290010.0,Abaíra,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norte,Paulo Afonso,290020.0,Abaré,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0
Nordeste,Alagoinhas,290030.0,Acajutiba,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Nordeste,Ribeira do Pombal,290035.0,Adustina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Centro Leste,Serrinha,290040.0,Água Fria,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0
Sul,Jequié,290060.0,Aiquara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordeste,Alagoinhas,290070.0,Alagoinhas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Extremo Sul,Teixeira de Freitas,290080.0,Alcobaça,2.0,7.0,1.0,3.0,2.0,7.0,14.0,24.0,25.0,16.0,16.0
Sul,Itabuna,290090.0,Almadina,1.0,0.0,1.0,5.0,4.0,6.0,7.0,15.0,10.0,10.0,1.0
Leste,Santo Antônio de Jesus,290100.0,Amargosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Centro Leste,Feira de Santana,290110.0,Amélia Rodrigues,2.0,2.0,6.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,0.0
Centro Norte,Irecê,290115.0,América Dourada,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0
Sudoeste,Vitória da Conquista,290120.0,Anagé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Centro Leste,Itaberaba,290130.0,Andaraí,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norte,Senhor do Bonfim,290135.0,Andorinha,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Oeste,Barreiras,290140.0,Angical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0
Centro Leste,Feira de Santana,290150.0,Anguera,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
