Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2010,Unnamed: 5,2011,Unnamed: 7,2012,Unnamed: 9,2013,Unnamed: 11,2014,Unnamed: 13,2015,Unnamed: 15,2016,Unnamed: 17,2017,Unnamed: 19,2018,Unnamed: 21,2019,Unnamed: 23,2020,Unnamed: 25
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,290150,Anguera,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,290170,Antônio Cardoso,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,290260,Baixa Grande,0,-,0,-,1,-,0,-,0,-,1,-,1,-,0,-,0,-,0,-,1,-
Centro Leste,Feira de Santana,290640,Candeal,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,290685,Capela do Alto Alegre,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,290850,Conceição do Jacuípe,0,-,1,-,0,-,0,-,0,-,0,-,0,-,1,-,1,-,0,-,0,-
Centro Leste,Feira de Santana,290890,Coração de Maria,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,291080,Feira de Santana,8,84.8356309650053,4,42.256496936404,1,10.4547830632514,1,10.771219302025,5,51.6368893937829,5,48.257890165042,6,58.6739683160571,6,58.2863804157762,2,19.3892389723703,0,-,4,43.2572726289607
Centro Leste,Feira de Santana,291125,Gavião,0,-,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,291330,Ichu,0,-,0,-,0,-,1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-
Centro Leste,Feira de Santana,291380,Ipecaetá,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1,-,0,-,0,-
