Macrorregião de Saúde,Região de Saúde,Cod. IBGE,Município,2015-12-01 00:00:00,2016-12-01 00:00:00,2017-12-01 00:00:00,2018-12-01 00:00:00,2019-12-01 00:00:00,2020-12-01 00:00:00
Centro Leste,Seabra,290010,Abaíra,1.0,1.0,1.0,1.0,1.0,1.0
Norte,Paulo Afonso,290020,Abaré,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,290030,Acajutiba,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Ribeira do Pombal,290035,Adustina,0.8097,0.4023,0.7998,0.7954,0.8222,1.0
Centro Leste,Serrinha,290040,Água Fria,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,290060,Aiquara,0.7203,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,290070,Alagoinhas,0.5959,0.6029,0.5194,0.7713,0.7518,0.6827
Extremo Sul,Teixeira de Freitas,290080,Alcobaça,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,290090,Almadina,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,290100,Amargosa,0.8267,0.8213,0.8162,0.9017,0.9317,1.0
Centro Leste,Feira de Santana,290110,Amélia Rodrigues,0.9128,0.9134,0.9139,0.9145,0.9574,1.0
Centro Norte,Irecê,290115,América Dourada,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,290120,Anagé,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Itaberaba,290130,Andaraí,1.0,1.0,1.0,1.0,1.0,1.0
Norte,Senhor do Bonfim,290135,Andorinha,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Barreiras,290140,Angical,0.7021,1.0,1.0,1.0,0.9845,0.9873
Centro Leste,Feira de Santana,290150,Anguera,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Ribeira do Pombal,290160,Antas,0.9093,0.7194,0.89,0.8815,1.0,1.0
Centro Leste,Feira de Santana,290170,Antônio Cardoso,1.0,1.0,1.0,1.0,1.0,1.0
Norte,Senhor do Bonfim,290180,Antônio Gonçalves,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,290190,Aporá,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Jequié,290195,Apuarema,1.0,1.0,1.0,1.0,1.0,1.0
Nordeste,Alagoinhas,290205,Araçás,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Brumado,290200,Aracatu,1.0,1.0,1.0,1.0,0.7824,1.0
Centro Leste,Serrinha,290210,Araci,0.7765,0.7094,0.7495,0.8555,0.9555,0.9517
Nordeste,Alagoinhas,290220,Aramari,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Ilhéus,290225,Arataca,1.0,1.0,1.0,1.0,1.0,1.0
Leste,Santo Antônio de Jesus,290230,Aratuípe,1.0,1.0,1.0,1.0,1.0,1.0
Sul,Itabuna,290240,Aurelino Leal,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Barreiras,290250,Baianópolis,1.0,1.0,1.0,1.0,1.0,1.0
Centro Leste,Feira de Santana,290260,Baixa Grande,0.9771,0.9766,0.9676,0.9672,0.6736,1.0
Nordeste,Ribeira do Pombal,290265,Banzaê,1.0,1.0,1.0,1.0,1.0,1.0
Oeste,Ibotirama,290270,Barra,0.8729,0.8476,0.877,0.8632,0.7777,0.7083
Sudoeste,Brumado,290280,Barra da Estiva,1.0,1.0,1.0,1.0,1.0,1.0
Sudoeste,Vitória da Conquista,290290,Barra do Choça,1.0,1.0,1.0,1.0,1.0,1.0
